UniqID	ICD-10_Description	ICD-9_Description
023948	Encounter for observation for other suspected diseases and conditions ruled out	No Axis III Diagnosis
000001	Cholera due to Vibrio cholerae 01, biovar cholerae	Cholera due to vibrio cholerae
000002	Cholera due to Vibrio cholerae 01, biovar eltor	Cholera due to vibrio cholerae el tor
000003	Cholera, unspecified	Cholera, unspecified
000004	Typhoid fever, unspecified	Typhoid fever
000005	Paratyphoid fever A	Paratyphoid fever A
000006	Paratyphoid fever B	Paratyphoid fever B
000007	Paratyphoid fever C	Paratyphoid fever C
000008	Paratyphoid fever, unspecified	Paratyphoid fever, unspecified
000009	Salmonella enteritis	Salmonella gastroenteritis
000010	Salmonella sepsis	Salmonella septicemia
000011	Localized salmonella infection, unspecified	Localized salmonella infection, unspecified
000012	Salmonella meningitis	Salmonella meningitis
000013	Salmonella pneumonia	Salmonella pneumonia
000014	Salmonella arthritis	Salmonella arthritis
000015	Salmonella osteomyelitis	Salmonella osteomyelitis
000016	Salmonella with other localized infection	Other localized salmonella infections
000017	Other specified salmonella infections	Other specified salmonella infections
000018	Salmonella infection, unspecified	Salmonella infection, unspecified
000019	Shigellosis due to Shigella dysenteriae	Shigella dysenteriae
000020	Shigellosis due to Shigella flexneri	Shigella flexneri
000021	Shigellosis due to Shigella boydii	Shigella boydii
000022	Shigellosis due to Shigella sonnei	Shigella sonnei
000023	Other shigellosis	Other specified shigella infections
000024	Shigellosis, unspecified	Shigellosis, unspecified
000052	Enteropathogenic Escherichia coli infection	Intestinal infection due to enteropathogenic E. coli
000053	Enterotoxigenic Escherichia coli infection	Intestinal infection due to enterotoxigenic E. coli
000054	Enteroinvasive Escherichia coli infection	Intestinal infection due to enteroinvasive E. coli
000055	Enterohemorrhagic Escherichia coli infection	Intestinal infection due to enterohemorrhagic E. coli
000051	Other intestinal Escherichia coli infections	Intestinal infection due to E. coli, unspecified
000056	Other intestinal Escherichia coli infections	Intestinal infection due to other intestinal E. coli infections
000062	Campylobacter enteritis	Intestinal infection due to campylobacter
000063	Enteritis due to Yersinia enterocolitica	Intestinal infection due to yersinia enterocolitica
000064	Enterocolitis due to Clostridium difficile	Intestinal infection due to Clostridium difficile
000057	Other specified bacterial intestinal infections	Intestinal infection due to arizona group of paracolon bacilli
000058	Other specified bacterial intestinal infections	Intestinal infection due to aerobacter aerogenes
000059	Other specified bacterial intestinal infections	Intestinal infection due to proteus (mirabilis) (morganii)
000060	Other specified bacterial intestinal infections	Intestinal infection due to staphylococcus
000061	Other specified bacterial intestinal infections	Intestinal infection due to pseudomonas
000065	Other specified bacterial intestinal infections	Intestinal infection due to other anaerobes
000066	Other specified bacterial intestinal infections	Intestinal infection due to other gram-negative bacteria
000067	Other specified bacterial intestinal infections	Intestinal infection due to other organisms
000068	Bacterial intestinal infection, unspecified	Bacterial enteritis, unspecified
000025	Foodborne staphylococcal intoxication	Staphylococcal food poisoning
000026	Botulism food poisoning	Botulism food poisoning
000027	Foodborne Clostridium perfringens [Clostridium welchii] intoxication	Food poisoning due to Clostridium perfringens (C. welchii)
000029	Foodborne Vibrio parahaemolyticus intoxication	Food poisoning due to Vibrio parahaemolyticus
000031	Foodborne Bacillus cereus intoxication	Other bacterial food poisoning
000030	Foodborne Vibrio vulnificus intoxication	Food poisoning due to Vibrio vulnificus
000028	Other specified bacterial foodborne intoxications	Food poisoning due to other Clostridia
000032	Other specified bacterial foodborne intoxications	Other bacterial food poisoning
000033	Bacterial foodborne intoxication, unspecified	Food poisoning, unspecified
000034	Acute amebic dysentery	Acute amebic dysentery without mention of abscess
000035	Chronic intestinal amebiasis	Chronic intestinal amebiasis without mention of abscess
000036	Amebic nondysenteric colitis	Amebic nondysenteric colitis
000037	Amebic liver abscess	Amebic liver abscess
000038	Amebic lung abscess	Amebic lung abscess
000039	Amebic brain abscess	Amebic brain abscess
000040	Cutaneous amebiasis	Amebic skin ulceration
000041	Other amebic infections	Amebic infection of other sites
000042	Amebiasis, unspecified	Amebiasis, unspecified
